word,category,arousal,imageability,valence,arm,leg,bias,bias_absol,word_logfreq,lemma_logfreq,pos_ambig,bigram_logfreq,trigram_logfreq,nletters,nphon
nypa,arm,3.48,6.04,2.56,6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333,2.6053050461411096,2.292256071356476,0.27941176470588236,5.342337365415993,3.3501454273462503,4,4
ösa,arm,2.28,5.52,4.44,6.58333333333333,1.08333333333333,5.5,5.5,2.0681858617461617,2.45484486000851,0.056291390728476776,5.676517774370175,4.458954957021866,3,3
peta,arm,2.64,5.92,3.24,6.75,1.58333333333333,5.16666666666667,5.16666666666667,2.693726948923647,2.9561684304753633,0.13076923076923075,6.427189118157851,5.122077037300225,4,4
pilla,arm,2.76,5.64,3.52,6.58333333333333,1.41666666666667,5.16666666666667,5.16666666666667,2.2624510897304293,2.4771212547196626,0.27007299270072993,6.196558050602426,5.504990139489666,5,4
piska,arm,3.64,6,2.12,6.58333333333333,1.16666666666667,5.41666666666667,5.41666666666667,2.73559889969818,2.6334684555795866,0.5068807339449541,6.108009231544974,5.4167914197911875,5,5
plocka,arm,2.08,5.64,4.44,6.91666666666667,1.08333333333333,5.83333333333333,5.83333333333333,3.596707029681446,3.8723311212302507,0.018050065876152876,6.051770553855599,4.990897806550148,6,5
polera,arm,2.28,6.12,4.64,6.75,1.33333333333333,5.41666666666667,5.41666666666667,2.1931245983544616,2.4149733479708178,0.14473684210526316,6.25312791882954,5.315686301252964,6,6
putta,arm,2.56,5.92,3,6.66666666666667,1.83333333333333,4.83333333333333,4.83333333333333,2.439332693830263,2.7168377232995247,0.11394557823129248,6.052906963730867,4.693864362295508,5,4
repa,arm,2.36,4.68,3.12,5.91666666666667,1.08333333333333,4.83333333333333,4.83333333333333,2.66838591669,2.9633155113861114,0.24733824733824739,5.8188884405966785,4.4329297382730335,4,4
rista,arm,2.56,5.64,3.4,6.5,1,5.5,5.5,1.9294189257142926,2.456366033129043,0.065359477124183,6.377369428997344,5.492833643021268,5,5
rota,arm,2.92,5.64,2.72,6.58333333333333,1.33333333333333,5.25,5.25,2.7331972651065692,3.0111473607757975,0.11014744145706856,6.172790174313366,4.763792171590781,4,4
rycka,arm,3,5.48,3.04,6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333,2.6989700043360187,3.1975562131535367,0.055721989215098855,5.945222112233959,5.2392691342164115,5,4
signera,arm,2.2,5.72,4.36,6.75,1,5.75,5.75,2.7831886910752575,3.0086001717619175,0.12969283276450516,6.252193432131571,5.1791303295539315,7,7
skala,arm,1.56,5.76,4.08,6.75,1.08333333333333,5.66666666666667,5.66666666666667,2.9921114877869495,2.629409599102719,0.7146684527796383,6.431477002449254,5.485529350552809,5,5
skrubba,arm,2.24,6,3.76,6.58333333333333,1.25,5.33333333333333,5.33333333333333,2.3729120029701067,2.552668216112193,0.04289544235924936,5.72989494305835,4.594237674340232,7,6
skura,arm,1.76,5.6,3.8,6.58333333333333,1.58333333333333,5,5,2.089905111439398,2.965201701025912,0.041536863966770476,6.201445742459159,4.866274703410107,5,5
skyffla,arm,1.92,5.48,3.48,6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333,2.167317334748176,2.376576957056512,0.11851851851851847,5.587470552653934,3.817417393899914,7,5
